step,day,hour,money,inv_WHEAT,inv_CARROT,inv_TOMATO,inv_STRAWBERRY,inv_MELON,inv_EGG,inv_MILK,inv_WOOL,inv_FERTILIZER,price_WHEAT,price_CARROT,price_TOMATO,price_STRAWBERRY,price_MELON,price_EGG,price_MILK,price_WOOL,price_FERTILIZER,inv_WHEAT_change,inv_CARROT_change,inv_TOMATO_change,inv_STRAWBERRY_change,inv_MELON_change,inv_EGG_change,inv_MILK_change,inv_WOOL_change,inv_FERTILIZER_change
22,0,22,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,23,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1,0,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1,1,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
26,1,2,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1,3,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,4,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1,5,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,6,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1,7,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1,8,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1,9,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1,10,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1,11,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1,12,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1,13,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1,14,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1,15,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1,16,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1,17,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1,18,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1,19,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1,20,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1,21,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1,22,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1,23,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2,0,3000.0,9998,9998,9998,9998,9998,9998,9998,9998,10000,26,35,60,132,260,50,172,209,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2,1,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
50,2,2,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2,3,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2,4,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2,5,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2,6,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2,7,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2,8,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2,9,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2,10,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2,11,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2,12,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2,13,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2,14,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2,15,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2,16,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2,17,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2,18,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2,19,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2,20,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2,21,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2,22,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2,23,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,3,0,3000.0,9997,9997,9997,9997,9997,9997,9997,9997,10000,27,35,60,135,262,50,175,212,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,3,1,3000.0,9995,9995,9995,9995,9996,9996,9996,9996,10000,27,35,61,139,264,50,177,214,100,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0
74,3,2,3000.0,9995,9995,9995,9995,9996,9996,9996,9996,10000,27,35,61,139,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,3,3,3000.0,9995,9995,9995,9995,9996,9996,9996,9996,10000,27,35,61,139,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,3,4,3000.0,9995,9995,9995,9995,9996,9996,9996,9996,10000,27,35,61,139,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,3,5,3000.0,9994,9994,9994,9994,9996,9996,9996,9996,10000,27,35,61,141,264,50,177,214,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
78,3,6,3000.0,9994,9994,9994,9994,9996,9996,9996,9996,10000,27,35,61,141,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,3,7,3000.0,9994,9994,9994,9994,9996,9996,9996,9996,10000,27,35,61,141,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,3,8,3000.0,9994,9994,9994,9994,9996,9996,9996,9996,10000,27,35,61,141,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,3,9,3000.0,9993,9993,9993,9993,9996,9996,9996,9996,10000,28,36,61,142,264,50,177,214,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
82,3,10,3000.0,9993,9993,9993,9993,9996,9996,9996,9996,10000,28,36,61,142,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,3,11,3000.0,9993,9993,9993,9993,9996,9996,9996,9996,10000,28,36,61,142,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,3,12,3000.0,9993,9993,9993,9993,9996,9996,9996,9996,10000,28,36,61,142,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,3,13,3000.0,9992,9992,9992,9992,9996,9996,9996,9996,10000,28,36,61,144,264,50,177,214,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
86,3,14,3000.0,9992,9992,9992,9992,9996,9996,9996,9996,10000,28,36,61,144,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,3,15,3000.0,9992,9992,9992,9992,9996,9996,9996,9996,10000,28,36,61,144,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,3,16,3000.0,9992,9992,9992,9992,9996,9996,9996,9996,10000,28,36,61,144,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,3,17,3000.0,9991,9991,9991,9991,9996,9996,9996,9996,10000,28,36,61,145,264,50,177,214,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
90,3,18,3000.0,9991,9991,9991,9991,9996,9996,9996,9996,10000,28,36,61,145,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,3,19,3000.0,9991,9991,9991,9991,9996,9996,9996,9996,10000,28,36,61,145,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,3,20,3000.0,9991,9991,9991,9991,9996,9996,9996,9996,10000,28,36,61,145,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,3,21,3000.0,9990,9990,9990,9990,9996,9996,9996,9996,10000,28,36,61,147,264,50,177,214,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
94,3,22,3000.0,9990,9990,9990,9990,9996,9996,9996,9996,10000,28,36,61,147,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,3,23,3000.0,9990,9990,9990,9990,9996,9996,9996,9996,10000,28,36,61,147,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,4,0,3000.0,9990,9990,9990,9990,9996,9996,9996,9996,10000,28,36,61,147,264,50,177,214,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,4,1,3000.0,9988,9988,9988,9988,9995,9995,9995,9995,10000,28,36,61,149,266,50,179,215,100,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0
98,4,2,3000.0,9988,9988,9988,9988,9995,9995,9995,9995,10000,28,36,61,149,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,4,3,3000.0,9988,9988,9988,9988,9995,9995,9995,9995,10000,28,36,61,149,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,4,4,3000.0,9988,9988,9988,9988,9995,9995,9995,9995,10000,28,36,61,149,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,4,5,3000.0,9987,9987,9987,9987,9995,9995,9995,9995,10000,29,36,62,150,266,50,179,215,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
102,4,6,3000.0,9987,9987,9987,9987,9995,9995,9995,9995,10000,29,36,62,150,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,4,7,3000.0,9987,9987,9987,9987,9995,9995,9995,9995,10000,29,36,62,150,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,4,8,3000.0,9987,9987,9987,9987,9995,9995,9995,9995,10000,29,36,62,150,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,4,9,3000.0,9986,9986,9986,9986,9995,9995,9995,9995,10000,29,36,62,151,266,50,179,215,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
106,4,10,3000.0,9986,9986,9986,9986,9995,9995,9995,9995,10000,29,36,62,151,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,4,11,3000.0,9986,9986,9986,9986,9995,9995,9995,9995,10000,29,36,62,151,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,4,12,3000.0,9986,9986,9986,9986,9995,9995,9995,9995,10000,29,36,62,151,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,4,13,3000.0,9985,9985,9985,9985,9995,9995,9995,9995,10000,29,36,62,153,266,50,179,215,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
110,4,14,3000.0,9985,9985,9985,9985,9995,9995,9995,9995,10000,29,36,62,153,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,4,15,3000.0,9985,9985,9985,9985,9995,9995,9995,9995,10000,29,36,62,153,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,4,16,3000.0,9985,9985,9985,9985,9995,9995,9995,9995,10000,29,36,62,153,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,4,17,3000.0,9984,9984,9984,9984,9995,9995,9995,9995,10000,29,36,62,154,266,50,179,215,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
114,4,18,3000.0,9984,9984,9984,9984,9995,9995,9995,9995,10000,29,36,62,154,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,4,19,3000.0,9984,9984,9984,9984,9995,9995,9995,9995,10000,29,36,62,154,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,4,20,3000.0,9984,9984,9984,9984,9995,9995,9995,9995,10000,29,36,62,154,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,4,21,3000.0,9983,9983,9983,9983,9995,9995,9995,9995,10000,29,36,62,155,266,50,179,215,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
118,4,22,3000.0,9983,9983,9983,9983,9995,9995,9995,9995,10000,29,36,62,155,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,4,23,3000.0,9983,9983,9983,9983,9995,9995,9995,9995,10000,29,36,62,155,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,5,0,3000.0,9983,9983,9983,9983,9995,9995,9995,9995,10000,29,36,62,155,266,50,179,215,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,5,1,3000.0,9981,9981,9981,9981,9994,9994,9994,9994,10000,29,36,62,157,267,50,181,217,100,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0
122,5,2,3000.0,9981,9981,9981,9981,9994,9994,9994,9994,10000,29,36,62,157,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,5,3,3000.0,9981,9981,9981,9981,9994,9994,9994,9994,10000,29,36,62,157,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,5,4,3000.0,9981,9981,9981,9981,9994,9994,9994,9994,10000,29,36,62,157,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,5,5,3000.0,9980,9980,9980,9980,9994,9994,9994,9994,10000,29,37,62,158,267,50,181,217,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
126,5,6,3000.0,9980,9980,9980,9980,9994,9994,9994,9994,10000,29,37,62,158,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,5,7,3000.0,9980,9980,9980,9980,9994,9994,9994,9994,10000,29,37,62,158,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,5,8,3000.0,9980,9980,9980,9980,9994,9994,9994,9994,10000,29,37,62,158,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,5,9,3000.0,9979,9979,9979,9979,9994,9994,9994,9994,10000,30,37,63,158,267,50,181,217,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
130,5,10,3000.0,9979,9979,9979,9979,9994,9994,9994,9994,10000,30,37,63,158,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,5,11,3000.0,9979,9979,9979,9979,9994,9994,9994,9994,10000,30,37,63,158,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,5,12,3000.0,9979,9979,9979,9979,9994,9994,9994,9994,10000,30,37,63,158,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,5,13,3000.0,9978,9978,9978,9978,9994,9994,9994,9994,10000,30,37,63,159,267,50,181,217,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
134,5,14,3000.0,9978,9978,9978,9978,9994,9994,9994,9994,10000,30,37,63,159,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,5,15,3000.0,9978,9978,9978,9978,9994,9994,9994,9994,10000,30,37,63,159,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,5,16,3000.0,9978,9978,9978,9978,9994,9994,9994,9994,10000,30,37,63,159,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,5,17,3000.0,9977,9977,9977,9977,9994,9994,9994,9994,10000,30,37,63,160,267,50,181,217,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
138,5,18,3000.0,9977,9977,9977,9977,9994,9994,9994,9994,10000,30,37,63,160,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,5,19,3000.0,9977,9977,9977,9977,9994,9994,9994,9994,10000,30,37,63,160,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,5,20,3000.0,9977,9977,9977,9977,9994,9994,9994,9994,10000,30,37,63,160,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,5,21,3000.0,9976,9976,9976,9976,9994,9994,9994,9994,10000,30,37,63,161,267,50,181,217,100,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
142,5,22,3000.0,9976,9976,9976,9976,9994,9994,9994,9994,10000,30,37,63,161,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,5,23,3000.0,9976,9976,9976,9976,9994,9994,9994,9994,10000,30,37,63,161,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,6,0,3000.0,9976,9976,9976,9976,9994,9994,9994,9994,10000,30,37,63,161,267,50,181,217,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
